Feature,Test case,Notes (bugs),Pass,Fail,N/A
Feature 0,Testcase 0,comment,0,0,1
Feature 0,Testcase 1,comment,1,0,0
Feature 0,Testcase 2,comment,0,0,1
Feature 0,Testcase 3,comment,0,1,0
Feature 0,Testcase 4,comment,1,0,0
Feature 0,Testcase 5,comment,0,1,0
Feature 0,Testcase 6,comment,0,0,1
Feature 0,Testcase 7,comment,0,1,0
Feature 0,Testcase 8,comment,1,0,0
Feature 0,Testcase 9,comment,0,0,1
Feature 0,Testcase 10,comment,0,1,0
Feature 0,Testcase 11,comment,0,0,1
Feature 0,Testcase 12,comment,0,0,1
Feature 0,Testcase 13,comment,0,1,0
Feature 0,Testcase 14,comment,0,1,0
Feature 0,Testcase 15,comment,0,0,1
Feature 0,Testcase 16,comment,0,0,1
Feature 0,Testcase 17,comment,0,0,1
Feature 0,Testcase 18,comment,1,0,0
Feature 0,Testcase 19,comment,0,1,0
Feature 0,Testcase 20,comment,0,0,1
Feature 0,Testcase 21,comment,0,0,1
Feature 0,Testcase 22,comment,0,1,0
Feature 0,Testcase 23,comment,1,0,0
Feature 0,Testcase 24,comment,0,1,0
Feature 0,Testcase 25,comment,0,1,0
Feature 0,Testcase 26,comment,0,1,0
Feature 0,Testcase 27,comment,0,1,0
Feature 0,Testcase 28,comment,1,0,0
Feature 0,Testcase 29,comment,0,0,1
Feature 0,Testcase 30,comment,0,0,1
Feature 0,Testcase 31,comment,0,0,1
Feature 0,Testcase 32,comment,0,0,1
Feature 0,Testcase 33,comment,0,1,0
Feature 0,Testcase 34,comment,0,0,1
Feature 0,Testcase 35,comment,1,0,0
Feature 0,Testcase 36,comment,0,0,1
Feature 0,Testcase 37,comment,1,0,0
Feature 0,Testcase 38,comment,0,0,1
Feature 0,Testcase 39,comment,0,1,0
Feature 0,Testcase 40,comment,0,1,0
Feature 0,Testcase 41,comment,0,0,1
Feature 0,Testcase 42,comment,0,1,0
Feature 0,Testcase 43,comment,0,1,0
Feature 0,Testcase 44,comment,1,0,0
Feature 0,Testcase 45,comment,1,0,0
Feature 0,Testcase 46,comment,0,0,1
Feature 0,Testcase 47,comment,0,1,0
Feature 0,Testcase 48,comment,1,0,0
Feature 0,Testcase 49,comment,0,1,0
Feature 0,Testcase 50,comment,0,0,1
Feature 0,Testcase 51,comment,0,0,1
Feature 0,Testcase 52,comment,0,1,0
Feature 0,Testcase 53,comment,1,0,0
Feature 0,Testcase 54,comment,1,0,0
Feature 0,Testcase 55,comment,0,0,1
Feature 0,Testcase 56,comment,0,1,0
Feature 0,Testcase 57,comment,0,1,0
Feature 0,Testcase 58,comment,0,1,0
Feature 0,Testcase 59,comment,0,0,1
Feature 0,Testcase 60,comment,1,0,0
Feature 0,Testcase 61,comment,0,1,0
Feature 0,Testcase 62,comment,1,0,0
Feature 0,Testcase 63,comment,1,0,0
Feature 0,Testcase 64,comment,0,0,1
Feature 0,Testcase 65,comment,0,0,1
Feature 0,Testcase 66,comment,0,1,0
Feature 0,Testcase 67,comment,0,1,0
Feature 0,Testcase 68,comment,0,1,0
Feature 0,Testcase 69,comment,1,0,0
Feature 0,Testcase 70,comment,0,0,1
Feature 0,Testcase 71,comment,0,0,1
Feature 0,Testcase 72,comment,0,0,1
Feature 0,Testcase 73,comment,0,0,1
Feature 0,Testcase 74,comment,0,1,0
Feature 0,Testcase 75,comment,0,1,0
Feature 0,Testcase 76,comment,0,0,1
Feature 0,Testcase 77,comment,0,0,1
Feature 0,Testcase 78,comment,1,0,0
Feature 0,Testcase 79,comment,0,1,0
Feature 0,Testcase 80,comment,0,0,1
Feature 0,Testcase 81,comment,1,0,0
Feature 0,Testcase 82,comment,1,0,0
Feature 0,Testcase 83,comment,1,0,0
Feature 0,Testcase 84,comment,0,1,0
Feature 0,Testcase 85,comment,0,0,1
Feature 0,Testcase 86,comment,0,1,0
Feature 0,Testcase 87,comment,0,1,0
Feature 0,Testcase 88,comment,0,0,1
Feature 0,Testcase 89,comment,0,1,0
Feature 0,Testcase 90,comment,0,0,1
Feature 0,Testcase 91,comment,0,0,1
Feature 0,Testcase 92,comment,1,0,0
Feature 0,Testcase 93,comment,1,0,0
Feature 0,Testcase 94,comment,0,1,0
Feature 0,Testcase 95,comment,0,1,0
Feature 0,Testcase 96,comment,1,0,0
